Categoria Journal,Numero de documentos
Ca-A Cancer Journal for Clinicians,62.937 Q1
MMWR Recommendations and Reports,40.949 Q1
Nature Reviews Molecular Cell Biology,37.461 Q1
Quarterly Journal of Economics,34.573 Q1
Nature Reviews Materials,32.011 Q1
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",28.083 Q1
Cell,26.304 Q1
Nature Reviews Genetics,26.214 Q1
Reviews of Modern Physics,24.877 Q1
Journal of Political Economy,21.034 Q1
Nature Reviews Immunology,20.529 Q1
Chemical Reviews,20.528 Q1
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,19.961 Q1
New England Journal of Medicine,19.889 Q1
Nature Energy,19.733 Q1
Nature Reviews Cancer,19.575 Q1
Nature Medicine,19.536 Q1
Nature Methods,19.469 Q1
Nature Genetics,18.861 Q1
Academy of Management Annals,18.318 Q1
Annual Review of Immunology,18.301 Q1
Journal of Finance,18.151 Q1
American Economic Review,16.936 Q1
Annual Review of Biochemistry,16.921 Q1
Econometrica,16.700 Q1
Nature Reviews Chemistry,16.465 Q1
Nature,15.993 Q1
Review of Economic Studies,15.641 Q1
Annual Review of Astronomy and Astrophysics,15.623 Q1
Chemical Society Reviews,15.598 Q1
World Psychiatry,15.510 Q1
Nature Biotechnology,15.358 Q1
Administrative Science Quarterly,15.098 Q1
Energy and Environmental Science,14.486 Q1
Nature Materials,14.344 Q1
Nature Catalysis,14.330 Q1
Nature Nanotechnology,14.308 Q1
Immunity,14.286 Q1
Physiological Reviews,13.853 Q1
Nature Photonics,13.674 Q1
"Lancet Oncology, The",13.530 Q1
Nature Neuroscience,13.403 Q1
"Lancet, The",13.103 Q1
Cancer Cell,13.035 Q1
American Economic Journal: Applied Economics,12.996 Q1
Review of Financial Studies,12.800 Q1
"Lancet Neurology, The",12.776 Q1
Molecular Cell,12.615 Q1
Science,12.556 Q1
Joule,12.532 Q1
